buySell,clientName,date,name,qty,remarks,symbol,watp
BUY,BAJAJ LIFE INSURANCE LIMITED,27-Aug-2026,Apollo Tyres Ltd.,2298000,,APOLLOTYRE,435
BUY,SBI LIFE INSURANCE COMPANY LIMITED,27-Aug-2026,Apollo Tyres Ltd.,5632000,,APOLLOTYRE,435
BUY,ICICI PRUDENTIAL MUTUAL FUND,27-Aug-2026,Apollo Tyres Ltd.,19080000,,APOLLOTYRE,435
BUY,LIC MUTUAL FUND,27-Aug-2026,Foseco India Ltd,42577,,FOSECOIND,5897
BUY,MOTILAL OSWAL MUTUAL FUND,27-Aug-2026,Foseco India Ltd,42577,,FOSECOIND,5897
BUY,MORGAN STANLEY ASIA SINGAPORE PTE,27-Aug-2026,Foseco India Ltd,42577,,FOSECOIND,5897
BUY,CATAMARAN VENTURES LLP,27-Aug-2026,Foseco India Ltd,55978,,FOSECOIND,5897
BUY,CITIGROUP GLOBAL MARKETS SINGAPORE PTE LIMITED,27-Aug-2026,Foseco India Ltd,42577,,FOSECOIND,5897
BUY,INVESCO MUTUAL FUND,27-Aug-2026,Foseco India Ltd,254446,,FOSECOIND,5897
BUY,SBI MUTUAL FUND,27-Aug-2026,Foseco India Ltd,322297,,FOSECOIND,5897
BUY,MAHINDRA MANULIFE MUTUAL FUND,27-Aug-2026,Foseco India Ltd,55978,,FOSECOIND,5897
BUY,MIRAE ASSET MUTUAL FUND,27-Aug-2026,Foseco India Ltd,291793,,FOSECOIND,5897
SELL,EMERALD SAGE INVESTMENT LTD,27-Aug-2026,Apollo Tyres Ltd.,27010000,,APOLLOTYRE,435
SELL,MORGAN TERRASSEN B V,27-Aug-2026,Foseco India Ltd,560056,,FOSECOIND,5897
SELL,MORGANITE CRUCIBLE LIMITED,27-Aug-2026,Foseco India Ltd,590744,,FOSECOIND,5897
