symbol,latestOI,prevOI,changeInOI,avgInOI,volume,futValue,optValue,total,premValue,underlyingValue
GVT&D,50595,40615,9980,24.57,190045,109517.54137,103542321286,133664.75423,24147.21286,4750
DIVISLAB,75074,64540,10534,16.32,149056,82100.12304,135023047679,101414.09983,19313.97679,9575
POWERINDIA,56297,49489,6808,13.76,117694,87552.66602,87751963571,101064.92673,13512.26071,31135
PHOENIXLTD,16739,14802,1937,13.09,6806,5489.07194,4283505975,5782.61169,293.53975,1885
BPCL,29143,26526,2617,9.87,25779,16676.59051,14366627969,18905.31896,2228.72844,303
BDL,54026,49222,4804,9.76,37113,25881.07527,17999923994,29538.12521,3657.04994,1242
BLUESTARCO,29305,26719,2586,9.68,26512,23793.81312,10410414677,25656.98989,1863.17677,1460
NIFTY,12436381,11372205,1064176,9.36,281543687,670661.50827,434799811028969,5942238.52296,5271577.01469,23635
BANDHANBNK,53845,49366,4479,9.07,76492,60797.93688,42324787008,68926.74696,8128.81008,171
RADICO,12803,11808,995,8.43,4235,5027.07559,2344386507,5376.19066,349.11507,4485
ICICIPRULI,31200,29382,1818,6.19,16602,12776.03247,6190107973,13635.25221,859.21973,469
ICICIBANK,223510,210941,12569,5.96,155637,136704.58214,142935656850,151226.61064,14522.0285,1399
WIPRO,119262,113046,6216,5.5,31547,40969.8051,12578549820,42773.7783,1803.9732,171
VOLTAS,59511,56421,3090,5.48,32763,22559.77485,12408108622,24438.63607,1878.86122,1144
TIINDIA,19277,18302,975,5.33,11350,10770.22278,5156965238,11654.07516,883.85238,2638
UNIONBANK,40005,38009,1996,5.25,14145,22254.54851,9635220984,23909.10336,1654.55484,183
INDIANB,21972,20876,1096,5.25,12211,10785.9242,9787079710,12182.6213,1396.6971,859
OIL,15115,14367,748,5.21,12840,11493.07012,8009803494,12948.55506,1455.48494,495
FINNIFTY,13285,12658,627,4.95,15683,1679.21553,24588727954,3517.06508,1837.84954,25695
